,Statement Description
6108, understanding of network traffic manipulation
6109, awareness of security vulnerabilities related to ARP
6110,insurance types
6111, industrial insurance knowledge
6112, boiler related insurance
6113,Windows operating system history
6114, Access control mechanisms in Windows
6115, Windows NT security features
6116, Windows 2000 security enhancements
6117,Internet Protocol knowledge
6118, Understanding of network protocols
6119,Risk analysis concepts
6120, Quantitative vs qualitative analysis
6121, Risk management processes
6122,knowledge of web security
6123, understanding of Unicode encoding
6124, directory traversal attacks
6125,backup generators
6126, space requirements
6127, generator brands
6128, generator pricing
6129, generator startup methods
6130, generator uptime
6131, generator power output
6132, generator fuel types
6133,Knowledge of intranet and data center management
6134, Understanding of service level agreements
6135, Enterprise information security
6136, System and data center security management
6137,knowledge of cryptography
6138, understanding of encryption systems
6139, familiarity with decryption methods
6140,DNSSEC
6141, RRsets
6142, DS records
6143, NSEC records
6144, RRSIG records
6145, DNSKEY records
6146,Social engineering techniques
6147, Common methods of phishing
6148, Information security practices
6149,Knowledge of network security
6150, Understanding of authentication processes
6151, Awareness of security risks in remote access
6152,Understanding of utility services
6153, Knowledge of single point of failure concepts
6154, Awareness of redundancy in connectivity
6155,Software development knowledge
6156, Understanding of software security terms
6157,knowledge of network security tools
6158, understanding of network sniffing
6159,Cybersecurity concepts
6160, Social engineering tactics
6161,XML and tagged languages knowledge
6162, Process to process authentication concepts
6163, Digital signatures basics
6164,Knowledge of email encryption methods
6165, Understanding of UNIX command line tools
6166, Familiarity with cryptographic software
6167,Knowledge of common IT security incident detection methods
6168, Understanding of intrusion detection and prevention systems
6169, Familiarity with automated audit log analysis tools
6170, Awareness of end user roles in security incident detection
6171,knowledge of access control principles
6172, understanding of CIA triad (Confidentiality
6173, Integrity
6174, Availability)
6175,network analysis
6176, data packet inspection
6177, network monitoring
6178,Computer security principles
6179, Authentication methods
6180,vulnerability assessment
6181, exploitation techniques
6182, cybersecurity principles
6183,knowledge of encryption methods
6184, understanding of secret key encryption
6185, awareness of security challenges in cryptography
6186,cybersecurity concepts
6187, encryption purposes
6188, data security
6189,group theory
6190, permutations
6191, symmetric group
6192,SQL injection
6193, database security
6194,knowledge of information security threats
6195, understanding of physical security measures
6196, awareness of environmental risks
6197,Knowledge of cybersecurity practices
6198, Understanding of data protection methods
6199,Understanding of security threats
6200, Knowledge of entity deception in cybersecurity
6201,Information systems security
6202, Business continuity planning
6203, Risk management
6204,legal protection
6205, security vulnerabilities
6206, good faith reporting
6207,knowledge of browser parasites
6208, understanding of privacy concerns
6209, familiarity with web browsing practices
6210,cybersecurity principles
6211, network security concepts
6212, unauthorized access prevention methods
6213,routing protocols
6214, network security concepts
6215, checksum function in networking
6216,Frequency hopping technology
6217, Anti jamming techniques
6218, Communication security concepts
6219,networking basics
6220, command line utilities
6221, TCP/IP protocols
6222,knowledge of cryptographic concepts
6223, understanding of encryption and decryption processes
6224, familiarity with different types of ciphers
6225,Smartcard security
6226, Physical tampering techniques
6227, Passivation layer
6228, Probing methods
6229,DNS caching mechanisms
6230, DNS poisoning techniques
6231, DNS resolution process
6232,Physical security measures
6233, Identification methods
6234, Control mechanisms
6235, Smart card technology
6236,Military logistics
6237, Data security
6238, Classification levels
6239, Nonmonotonic logic
6240, Unauthorized data transfer
6241, Data separation
6242,DNS security
6243, Network security practices
6244, Understanding of DNS operations
6245, Knowledge of ARP protocol
6246,knowledge of cryptographic concepts
6247, understanding of message authentication codes
6248, understanding of digital signatures
6249,PeopleSoft field security
6250, Third party applications integration
6251, PeopleSoft panel security
6252,network security
6253, packet manipulation
6254, ethical hacking tools
6255, man in the middle attacks
6256, network protocols
6257,Risk management concepts
6258, Project management knowledge
6259,knowledge of HIPAA regulations
6260, understanding of U.S. healthcare administrative structure
